1653399131,10.0,5,1653399110,8,Sữa
1653399167,6.0,34,1653399150,9,Nước lọc
1653399282,16.0,3,1653399268,6,Sting
1653485271,14.0,23,12,10,Éc
1653486302,10.0,12,12,8,Sữa
1653490484,123.0,10,1653490469,123,124
1653494030,14.0,12,4,10,Éc
1653494456,10.0,12,1653494449,8,Sữa
1653495685,15.0,34,12,7,Trà xanh
1653496419,16.0,3,123,2,cafe muối
1653496753,10.0,12,12,8,Sữa
1653497063,14.0,12,23,10,Éc
1653497079,6.0,23,14,9,Nước lọc
1653497384,15.0,12,10,7,Trà xanh
1653497418,10.0,23,3,8,Sữa
1653497503,10.0,2,14,8,Sữa
1653497567,10.0,2,15,8,Sữa
1653498771,14.0,12,1653498763,10,Éc
1653498790,10.0,23,1653498788,8,Sữa
1653499922,6.0,18,1653499920,9,Nước lọc
1653505572,15.0,23,1653505570,7,Trà xanh
1653505579,6.0,2,1653505578,9,Nước lọc
1653505586,123.0,13,1653505586,123,124
